search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
traditional matcha,/shorts/7A5ulivlTW4,/@Matchacom,Matcha,usucha and koicha | 2 different ways to prepare matcha,79K,1 year,"Usucha vs Koicha | On Tea Day, we're sharing two different ways you can prepare a traditional cup of matcha— usucha and ...",2026-01-15 23:22:04.673776
traditional matcha,/watch?v=13uVij4DsZk&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@DensTeaInc,Den's Tea,How to Make the Perfect Cup of Matcha Tea | Den's Tea,139K,10 years,"To make the perfect cup of matcha tea, you need to have the right tea brewing supplies. Gather your matcha bowl, matcha powder ...",2026-01-15 23:22:04.675577
traditional matcha,/watch?v=KlFXl--H8eM&t=442s&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@BusinessInsider,Business Insider,Why Ceremonial-Grade Matcha Is So Expensive | So Expensive | Business Insider,5.5M,3 years,"The greener matcha is, the smoother and more complex its flavor. But not all matcha is the same. Matcha at its highest quality is ...",2026-01-15 23:22:04.679662
traditional matcha,/watch?v=fmukjUoevf4&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@TealeavesCo,TEALEAVES,Japanese Chado Matcha Green Tea Ceremony #TeaStories | TEALEAVES,861K,10 years,"It is our privilege to film this beautiful Chado ceremony, which has been an important inspiration for TEALEAVES since our ...",2026-01-15 23:22:04.682430
traditional matcha,/watch?v=cZfLJyA71DU&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh0gcJCU0KAYcqIYzv,/@AgricultureInsightusa,Agriculture Insight,Inside the World’s Most Expensive Matcha Powder Processing – How Japanese Matcha Is Made,84K,4 weeks,Inside the World's Most Expensive Matcha Powder Processing – How Japanese Matcha Is Made Join us as we explore the ...,2026-01-15 23:22:04.687688
traditional matcha,/watch?v=2doEhQaynLs&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@TeaOfJapan,TeaOfJapan,How to make Matcha (Traditional Japanese Green Tea),321K,12 years,"How to make a cup/bowl of Matcha. Recipe: 3 to 4 grams of Matcha if you are making ""Usucha (or Ousu)"" 5 to 6 grams of Matcha if ...",2026-01-15 23:22:04.689659
traditional matcha,/watch?v=rfXsEwf2_UY&t=24s&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@Nekohama,Nekohama,Everything You Need To Know About Matcha,23K,1 year,"Learn About Everything You Need To Know About Japanese Matcha + Tour A Farm & A Production Facility Hi Friends, This is a ...",2026-01-15 23:22:04.691572
traditional matcha,/watch?v=yQ5TfiTYpaI&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh0gcJCU0KAYcqIYzv,/@MakeSushi1,Make Sushi 1,How to Make Traditional Matcha + Easy Way to Make Matcha Green Tea,1.6M,7 years,How to prepare matcha green tea the traditional way and easy way. What is Matcha? it's a finely ground young tea leave that is ...,2026-01-15 23:22:04.695724
traditional matcha,/shorts/Cb-7gFor8p4,/@cuppabeans,Angus Wan,How to use a new matcha whisk,54M,2 years,It's time to use my new matcha whisk! Make sure you remember to soak the whisk in hot water to soften and expand the bristles ...,2026-01-15 23:22:04.698114
traditional matcha,/watch?v=vGMKmbAFpP0&t=442s&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@businessinsiderindia9294,Business Insider India,Why Ceremonial-Grade Matcha Is So Expensive | So Expensive Food,5K,3 years,"Matcha The greener matcha is, the smoother and more complex its flavor. But not all matcha is the same. Matcha at its highest ...",2026-01-15 23:22:04.700339
traditional matcha,/shorts/-Za44q1tSbM,/@MichelleKanemitsu,Michelle Kanemitsu,how to create the smoothest matcha microfoam in 1 minute 🍵💚,511K,6 months,how to create the smoothest matcha microfoam ✨   happy matcha mondays ep. 31! matcha i'm using: ...,2026-01-15 23:22:04.703305
traditional matcha,/shorts/zBU0v9F-zD4,/@cuppabeans,Angus Wan,Grinding my own matcha in Japan!,18M,1 year,I ground my own matcha in Japan! This was one of my favourite experiences from the trip and being a heavy matcha drinker ...,2026-01-15 23:22:04.708303
traditional matcha,/shorts/MzIen6fSQwA,/@jasmineandtea,jasmineandtea,making a matcha latte at home 🍵,9.4M,3 years,matcha latte at home ~ Making myself a cup of matcha is one of the things I look forward to most in the morning. It's almost ...,2026-01-15 23:22:04.711811
traditional matcha,/shorts/B4ccemTLTbQ,/@TpercentMatcha,Jack - Matcha Sensei (T%),How to make matcha in the traditional Japanese way?,6.7K,8 months,This is the How-to series. How to Make Matcha in the Traditional Japanese Way? Discover the art of making matcha just like ...,2026-01-15 23:22:04.714379
traditional matcha,/watch?v=trmRpZuR-AY&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@MatchaOutletcom,MatchaOutlet.com,Matcha Traditional Way,1.5K,6 years,"High in antioxidants, Matcha green tea offers many great health benefits and calming effects. Since matcha is in the form of a ...",2026-01-15 23:22:04.716922
traditional matcha,/shorts/zcRYRX6LRZw,/@Greencaffeine,Green Caffeine Matcha,How I prepare matcha tea traditionally,2.5K,1 year,... matcha is literally just green tea if your water is boiling hot it will burn your tea and it will make it taste very bitter the traditional ...,2026-01-15 23:22:04.720377
traditional matcha,/watch?v=slBh6ZzOXbE&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@Nioteas,Nioteas TV,Matcha Grades Explained - Ceremonial Matcha vs Culinary Matcha,67K,2 years,Save Big on Matcha and Get Free Shipping Worldwide! http://tinyurl.com/2yom5h47 ...,2026-01-15 23:22:04.723520
traditional matcha,/shorts/4SIh6qp0ZIA,/@JapanbyFood,Japan by Food,What Actually Happens in a Japanese Tea Ceremony,38K,10 months,"The Japanese tea ceremony, or ""sado,"" is more than just drinking matcha. It's a deeply spiritual rite that involves intricate, ...",2026-01-15 23:22:04.725055
traditional matcha,/shorts/27-w3bb_emo,/@KengoNishikawa,MatchaDad from Japan,$70 vs $5 Matcha Whisks: The Shocking Truth Japanese Artisans Revealed… #matcha #japaneseculture,69K,10 months,Takayama Chasen: https://emptea.co/products/takayama-shin-kazuho-for-emptea-matcha-whisk-chasen-%E7%9C%9F Looking ...,2026-01-15 23:22:04.726546
traditional matcha,/shorts/fSvGAUf9Hzk,/@Greencaffeine,Green Caffeine Matcha,How to make Matcha the traditional Japanese way 🇯🇵,1.7M,3 years,This is how you prepare matcha ceremonies the traditional Japanese way first you will need to soak the bamboo whisk in warm ...,2026-01-15 23:22:11.530601
traditional matcha,/shorts/ybldXtndvYE,/@matchaleo,Leo Li ,How to make matcha tea properly!,1.5M,2 years,This is how to prepare matcha correctly at home! 1. Sift 1-2 teaspoons of matcha to remove clumps. 2. Heat water to just below ...,2026-01-15 23:22:11.532026
traditional matcha,/shorts/tNg4Y0TDyxE,/@wheninmanila,WhenInManila,How to make MATCHA the authentic Japanese way! 7 easy steps to make matcha,3.3K,5 months,How to make MATCHA the authentic Japanese way! 7 easy steps to make matcha. @wheninmanila went to Tokyo to take this ...,2026-01-15 23:22:11.533471
traditional matcha,/watch?v=3a5g_ccjyx0&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@moyamatcha,Moya Matcha,Traditional Matcha Preparation by Hitomi Saito,30K,8 years,Hitomi Saito shows how to prepare matcha in a traditional matcha bowl (matchawan) and using a traditional matcha whisk ...,2026-01-15 23:22:11.535015
traditional matcha,/shorts/VpdL6_CtUDA,/@Goldenbrown.coffee,Golden Brown Coffee,Perfect matcha latte at home,2.2M,2 years,I'm going to show you how to make a cafe quality matcha latte at home with just a milk foamer I'm starting off with ceremonial ...,2026-01-15 23:22:11.540369
traditional matcha,/shorts/fc500-ky7VM,/@EpicGlobeExplorers,Epic Globe Explorers,Japanese Tea Ceremony Explained: The Beauty of Sadō & Matcha 🍵✨,42K,10 months,Japanese Tea Ceremony Explained: The Beauty of Sadō & Matcha ✨ The Japanese Tea Ceremony (Sadō or Chadō) is more ...,2026-01-15 23:22:11.543139
traditional matcha,/shorts/VRgo5oclZ48,/@OYUCeramics,OYU Ceramics,The Art of Matcha: A Journey into Japanese Tradition #greentea #matchatea,16K,1 year,"In the rush of daily life, it's essential to find moments of calm and reflection. The traditional Japanese matcha ceremony offers just ...",2026-01-15 23:22:11.544529
traditional matcha,/shorts/S-M0MCddq0s,/@withbrandonn,Brandon Chou,The perfect iced matcha latte recipe (NEW RECIPE IN DESCRIPTION),661K,2 years,"3.5g matcha powder 15g room temperature water, mix into a paste 25g of water at 70c whisk ~105 mL of milk simple syrup to taste ...",2026-01-15 23:22:11.545953
traditional matcha,/shorts/quDZDNJ-IPM,/@globalpeoplewatching,Global People Watching,Matcha tea traditional #matcha,5.3K,2 years,How to make matcha tea the traditional way in a ceremony. Matcha leaves grow protected from the sun so it is naturally sweeter ...,2026-01-15 23:22:11.547707
traditional matcha,/shorts/0vgnhEqi82o,/@matchaleo,Leo Li ,This is how I prepare matcha the traditional Japanese way! #matcha,782,2 years,This is how you prepare matcha ceremonies the traditional Japanese way first you will need to soak the bamboo whisk in warm ...,2026-01-15 23:22:11.549165
traditional matcha,/shorts/QTaFHq5lLi0,/@ebifried,ebifried,how to spot fake matcha in japan 🐸🍵,268K,3 months,... saw these were like sweetened and unsweetened and that would never happen if it was matcha designed for Japanese people ...,2026-01-15 23:22:11.550918
traditional matcha,/shorts/XUfhrJkJTaE,/@Jeanelleats,Jeanelleats,Stop making lumpy MATCHA! 🍵,3.2M,10 months,"These are the steps I take at home to make a smooth cup of usucha (matcha prepared as ""thin tea""). Though it's not necessary to ...",2026-01-15 23:22:11.552407
traditional matcha,/watch?v=QZbB1JjDLSQ&t=154s&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh0gcJCU0KAYcqIYzv,/@SamuraiMatcha,Samurai Matcha,4 Simple Methods on How to Make Delicious Matcha,37K,1 year,"In this video, I'm going to share 4 different ways to make matcha!! ----------------------------------------- Subscribe and become a friend ...",2026-01-15 23:22:11.554501
traditional matcha,/shorts/XLggEEBixPU,/@munchingwithmariyah,Munching with Mariyah,my everyday matcha latte,1.3M,7 months,the perfect iced matcha latte imo. everything I used below!! - 12-15g honey - 1/8 tsp kosher salt - 1/8 tsp ground vanilla - 3.2g – 4g ...,2026-01-15 23:22:11.555805
traditional matcha,/shorts/0dTmErepUeM,/@matchaleo,Leo Li ,how do japanese drink matcha?,60K,1 year,This is how to make matcha the Japanese traditional way!,2026-01-15 23:22:11.557232
traditional matcha,/shorts/NtwEfTeakFg,/@NickDiGiovanni,Nick DiGiovanni,ONLY Eating Matcha For 24 Hours,40M,1 year,shorts #japan #matcha.,2026-01-15 23:22:18.331841
traditional matcha,/shorts/7OlrLf7uVHw,/@curious2know0,Curious2Know,AUTHENTIC JAPANESE MATCHA LATTE 🍵Freshly Ground & Served in Style  #malaysianstreetfood,9.1K,6 months,Experience the true taste of Japan in every sip! This premium Japanese Matcha Latte is made from freshly sourced Uji matcha ...,2026-01-15 23:22:18.334864
traditional matcha,/shorts/1VqXsHp1bT8,/@MichelleKanemitsu,Michelle Kanemitsu,matcha latte mistakes for beginners 🍵🥛💡,6M,10 months,matcha latte mistakes for beginners happy matcha mondays ep. 17! Matcha link: ...,2026-01-15 23:22:18.336313
traditional matcha,/shorts/9V714VOJ3NY,/@MichelleKanemitsu,Michelle Kanemitsu,the perfect matcha latte recipe tutorial for beginners 🍵🥛⭐️,837K,10 months,how to make the perfect matcha latte for beginners matcha mondays ep. 19 matcha link: ...,2026-01-15 23:22:18.337724
traditional matcha,/shorts/kS2fibaw0JU,/@heyitshoneysuckle,Hey It's Honeysuckle,Testing 3 Levels of Matcha Whisks!,8.4M,1 year,Follow me on InstagramL https://www.instagram.com/honeysuckle/ SHOP all the cooking gadgets: ...,2026-01-15 23:22:18.339042
traditional matcha,/watch?v=bjsv1Ix3Bgk&t=370s&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@Nioteas,Nioteas TV,Perfect Matcha Every Time in Just 4 Steps,244K,3 years,Save Big on Green Tea and Get Free Shipping Worldwide! https://tinyurl.com/2apasbz6 ...,2026-01-15 23:22:18.340894
traditional matcha,/shorts/NX8AJgS-99Y,/@theamatcha,Thea Matcha,How to prepare matcha with an Electric Whisk,237K,6 months,Pt 2. How to prepare matcha with an Electric Whisk New to making matcha? We're continuing our series on 4 different ways to ...,2026-01-15 23:22:18.342225
traditional matcha,/shorts/AqGm_sxFOQk,/@cuppabeans,Angus Wan,Testing a new matcha tea set,599K,1 year,Check out my brand new matcha set I never tried out. Matcha.tea interesting a little bit of hot water I watered my whisk so it's ready ...,2026-01-15 23:22:18.344788
traditional matcha,/shorts/XlW3iIkNs0I,/@Nioteas,Nioteas TV,How Much Matcha should you use #shorts,2.5M,3 years,Save Big on Matcha and Get Free Shipping Worldwide! http://tinyurl.com/2d6bmyfc ...,2026-01-15 23:22:18.347180
traditional matcha,/watch?v=FP0aHDpfy2I&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@OchaCo,Ocha & Co.,Ocha & Co Japanese Matcha,13K,3 years,"When it comes to Japanese matcha it's all about the high quality at affordable prices. Ocha & Co matcha is clean, fresh, and taste ...",2026-01-15 23:22:18.348367
traditional matcha,/shorts/vftAxL1MzfU,/@OYUCeramics,OYU Ceramics,How to create a traditional Matcha Tea Bowl on Potters Wheel. Part 1: Throwing ASMR  #pottery,32K,1 year,Step into the serene world of traditional Japanese craftsmanship as we mold the art of matcha. Watch as we skillfully throw a ...,2026-01-15 23:22:18.349590
traditional matcha,/shorts/J4j1huMDGnE,/@matchaleo,Leo Li ,Can you use a regular milk frother instead of a matcha whisk?,213K,2 years,"Yes, you can absolutely use a regular milk frother as an alternative to a traditional matcha whisk or ""chasen."" While the traditional ...",2026-01-15 23:22:18.351175
traditional matcha,/watch?v=lL9BiNuImws&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh0gcJCU0KAYcqIYzv,/@Lucy_Peel,Lucy Peel,Traditional Japanese Tea Ceremony,646K,13 years,As featured on http://lucypeel.com/2012/06/11/japan/ Presented at the Hotel Okura in Tokyo.,2026-01-15 23:22:18.353355
traditional matcha,/shorts/q5mnXwpK020,/@rforred,RforRed,How to drink matcha the traditional way  #ceramics #matcha #cooking #tea,32K,1 year,My husband mentioned that he craved some authentic matcha so I decided to make it myself first I took a trip to Japan to buy some ...,2026-01-15 23:22:25.757786
traditional matcha,/shorts/a7H3NHTCT-c,/@Nioteas,Nioteas TV,How is Matcha Made? #shorts,1M,2 years,Save Big on Matcha and Get Free Shipping Worldwide! http://tinyurl.com/2xsh5mx8.,2026-01-15 23:22:25.759362
traditional matcha,/shorts/FN-g4LseQjA,/@tatiimatcha,tatii🍵,I may never go back now that I use the cold whisk method 🤩 #matcha #matchalatte #matchatips #fyp,1.4M,7 months,oatmilk #morningroutine #matchatok #matcharecipe #coldwhiskmatcha.,2026-01-15 23:22:25.760625
traditional matcha,/shorts/tFi8pgS6kTo,/@jayshetty,Jay Shetty,The truth about matcha #shorts,167K,2 years,Matcha is prepared in a very unique way the tea plants are heavily shaded for three weeks before Harvest a 90 shade cloth so it ...,2026-01-15 23:22:25.761955
traditional matcha,/shorts/Rg5Wp5LL1uI,/@bell.annabell,Bell ベル | Barista Jepang,How to make Matcha Latte 🍵 SECRETS from the Japanese🥸 #shorts,12K,2 years,"Saten Japanese Tea Tokyo The owner is actually my former guru lol. Because I forgot how to make matcha the right way, ...",2026-01-15 23:22:25.763284
traditional matcha,/shorts/0y6nejJSjWE,/@heapwellsuperfoods1302,Heapwell Superfoods,How to Make Uji Matcha Latte (Authentic Japanese Café Style),9.9K,7 months,"Sourced from the historic tea fields of Uji, this ceremonial grade matcha is delicate, smooth, and deeply aromatic. When prepared ...",2026-01-15 23:22:25.764889
traditional matcha,/shorts/L8vwccSSjgc,/@CUSINAVERDE,CUSINAVERDE,HOME BARISTA Matcha Series 🍵 | UBE Cream MATCHA LATTE 💜 | Matcha Recipe #shorts #ubeflavor #barista,601K,1 year,HOME BARISTA Matcha Series | UBE Cream MATCHA LATTE | Matcha #homecafe #matchalatte #youneedtoknow Ube ...,2026-01-15 23:22:25.766254
traditional matcha,/shorts/OpaMsbj28f4,/@jasontsay,Jason Tsay,"top 5 matcha brands in 2025, part 1 🍵",102K,11 months,... another 300-year-old matcha brand from Kyoto this is one of the most established matcha brands in both Japan and the US and ...,2026-01-15 23:22:25.768968
traditional matcha,/watch?v=e9LHgP8JQoQ&t=65s&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@Nioteas,Nioteas TV,"Matcha vs Green Tea, What's the Difference? Is Matcha a type of Green Tea?",167K,4 years,Save Big on Green Tea and Get Free Shipping Worldwide! https://tinyurl.com/2a7mltd6 ...,2026-01-15 23:22:25.770751
traditional matcha,/shorts/oIBtyNhDeuE,/@tamo__tyan,たもグルメ【Japanese food】,Rich Matcha Baumkuchen #たもグルメ #japanesefood,11M,7 months,"Welcome to ‪‪ @tamo__tyan Channel! On this channel, we showcase some of Japan's best and most delicious sweets and foods!‬‬",2026-01-15 23:22:25.773108
traditional matcha,/watch?v=PeqeWlsesm0&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@happyhealthcc,Happy Health,The Truth About Matcha: What We Drink vs. Authentic Japanese Matcha,2.1K,11 months,"From antioxidants to energizing properties, matcha has become a superfood phenomenon, but are you drinking high-quality, ...",2026-01-15 23:22:25.774803
traditional matcha,/watch?v=-UTcOOVH-7M&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@dougdoesdelicious,DougDoesDelicious,How to Make the BEST Matcha Latte Like a Japanese Cafe [Part 2],128K,2 years,"In this Part 2 of my Matcha Mini Series, I show you exactly how to make an S-tier matcha latte as good as the ones found in cafes ...",2026-01-15 23:22:25.776560
traditional matcha,/shorts/xJqCQIvIRYw,/@cuppabeans,Angus Wan,Plastic vs. bamboo matcha whisk. What’s better?,37M,1 year,Resin matcha whisk or bamboo matcha whisk? I couldn't find a comparison online so I ended up getting a resin whisk to test it out.,2026-01-15 23:22:25.777893
traditional matcha,/shorts/ewVDEHQUays,/@theamatcha,Thea Matcha,Different grades of matcha explained - premium vs culinary vs ceremonial #matchapowder #matcha,26K,2 years,Welcome to day six of everything you need to know about matcha what are the three matcha grades part two looking at trying ...,2026-01-15 23:22:25.779166
traditional matcha,/shorts/yNShzgCELAQ,/@zrcteahouse,ZENRC Tea House,Crafting Tradition: Handmade Bamboo Matcha Whisk Production Process,23K,1 year,matchatea #matchawhisk #matchatea #chasen Explore the intricate artistry behind our handmade bamboo matcha whisk ...,2026-01-15 23:22:25.780448
traditional matcha,/shorts/tPwiJl30RpU,/@WildWanderer00,Wild Wanderer,Matcha leaves made into summer dessert,153K,4 months,"Bright green matcha leaves are hand-picked, dried, and slowly ground into a fine powder. Paired with milk boiled with sugar and ...",2026-01-15 23:22:25.781746
traditional matcha,/watch?v=qvXWrZKm0QM&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@justonecookbook,Just One Cookbook,How To Make Matcha (Japanese Green Tea)  抹茶の点て方,371K,9 years,"Enjoy and relax with authentic matcha at home. Green tea is full of antioxidants, and the unique earthy matcha flavors are ...",2026-01-15 23:22:25.783417
